tiempo,Cantidad de productos,Cantidad de cajas abiertas,Trabajadores activos,Nivel de fila,Tiempo del dia,,,,,,,,,
6.42,3,one,6,three,m,,,,,,,,,
4.53,2,one,6,two,m,,,,,,,,,
4.10,1,one,6,two,m,,,,,,,,,
3.41,1,one,6,two,m,,,,,,,,,
4.29,2,one,6,three,m,,,,,,,,,
5.33,2,one,6,two,m,,,,,,,,,
8.15,2,one,6,two,m,,,,,,,,,
6.08,2,one,6,two,m,,,,,,,,,
7.47,2,one,6,two,m,,,,,,,,,
10.33,2,one,6,two,m,,,,,,,,,
12.55,2,one,6,three,m,,,,,,,,,
9.54,3,one,6,three,m,,,,,,,,,
10.13,4,one,6,three,m,,,,,,,,,
8.50,3,one,6,three,m,,,,,,,,,
8.16,2,one,6,four,m,,,,,,,,,
7.57,2,one,6,four,m,,,,,,,,,
8.04,2,one,6,four,m,,,,,,,,,
2.25,1,one,6,one,m,,,,,,,,,
4.35,1,one,6,four,m,,,,,,,,,
4.35,2,one,6,three,m,,,,,,,,,
4.35,1,one,6,four,m,,,,,,,,,
4.35,1,two,6,three,m,,,,,,,,,
3.31,1,two,6,two,m,,,,,,,,,
1.45,1,two,6,two,m,,,,,,,,,
2.52,1,two,6,three,m,,,,,,,,,
0.35,1,two,6,two,a,,,,,,,,,
2.21,1,two,6,three,a,,,,,,,,,
0.56,1,two,6,three,a,,,,,,,,,
0.59,1,two,6,three,a,,,,,,,,,
3.13,2,two,6,four,a,,,,,,,,,
3.53,2,two,6,four,a,,,,,,,,,
1.40,1,two,5,three,a,,,,,,,,,
0.41,1,one,5,four,a,,,,,,,,,
1.15,2,two,5,four,a,,,,,,,,,
1.20,2,two,5,four,a,,,,,,,,,
1.40,2,two,5,four,a,,,,,,,,,
4.23,2,two,5,four,a,,,,,,,,,
2.35,1,two,5,five,a,,,,,,,,,
8.00,1,two,5,five,a,,,,,,,,,
4.42,1,two,5,five,a,,,,,,,,,
12.42,2,one,5,five,a,,,,,,,,,
11.57,3,one,5,five,a,,,,,,,,,
10.35,2,one,5,five,a,,,,,,,,,
13.10,2,one,5,five,a,,,,,,,,,
14.25,2,one,5,five,a,,,,,,,,,
11.46,3,one,5,five,a,,,,,,,,,
9.00,1,one,5,five,a,,,,,,,,,
6.44,2,one,5,five,a,,,,,,,,,
3.25,2,one,5,five,a,,,,,,,,,
6.20,1,one,5,four,a,,,,,,,,,
5.23,2,one,5,four,a,,,,,,,,,
3.40,2,one,5,three,a,,,,,,,,,
9.52,3,one,5,three,a,,,,,,,,,
7.51,2,one,5,five,a,,,,,,,,,
10.57,2,one,5,two,m,,,,,,,,,
4.32,2,one,5,three,m,,,,,,,,,
6.23,2,one,5,two,m,,,,,,,,,
8.20,3,one,5,two,m,,,,,,,,,
1.32,1,one,5,four,m,,,,,,,,,
2.23,1,one,5,three,m,,,,,,,,,
4.25,2,one,5,three,m,,,,,,,,,
9.52,2,one,5,four,m,,,,,,,,,
8.40,3,one,5,two,m,,,,,,,,,
7.50,3,one,5,three,m,,,,,,,,,
5.23,2,one,5,three,m,,,,,,,,,
3.25,1,one,5,three,m,,,,,,,,,
6.16,3,one,4,three,m,,,,,,,,,
9.22,1,one,5,four,m,,,,,,,,,
7.52,1,one,5,three,m,,,,,,,,,
2.53,3,one,5,three,m,,,,,,,,,
5.42,2,one,5,three,m,,,,,,,,,
11.44,3,one,5,five,m,,,,,,,,,
14.47,2,one,5,three,m,,,,,,,,,
7.35,3,one,4,five,m,,,,,,,,,
2.10,2,one,6,four,m,,,,,,,,,
9.00,1,one,5,five,m,,,,,,,,,
5.20,2,one,5,three,m,,,,,,,,,
9.31,2,one,5,five,m,,,,,,,,,
10.12,2,one,5,four,m,,,,,,,,,
11.22,2,one,5,three,m,,,,,,,,,
7.55,2,one,4,three,m,,,,,,,,,
13.35,2,one,6,five,m,,,,,,,,,
1.56,1,one,5,three,a,,,,,,,,,
6.44,2,one,5,two,a,,,,,,,,,
4.30,1,one,5,five,a,,,,,,,,,
10.23,2,one,5,two,a,,,,,,,,,
3.20,1,one,5,three,a,,,,,,,,,
4.70,1,one,5,four,a,,,,,,,,,
7.84,2,one,5,five,a,,,,,,,,,
14.21,2,one,5,three,a,,,,,,,,,
9.84,3,one,5,five,a,,,,,,,,,
14.41,1,one,5,four,a,,,,,,,,,
11.27,2,one,5,three,a,,,,,,,,,
13.57,2,one,5,three,a,,,,,,,,,
2.10,1,one,6,three,a,,,,,,,,,
13.17,2,one,5,three,a,,,,,,,,,
9.12,2,one,5,five,a,,,,,,,,,
4.25,2,one,5,three,a,,,,,,,,,
5.30,2,one,5,three,a,,,,,,,,,
14.41,2,one,5,five,n,,,,,,,,,
18.09,3,one,5,five,n,,,,,,,,,
9.16,3,one,4,five,n,,,,,,,,,
9.39,3,one,5,five,n,,,,,,,,,
16.11,3,one,5,five,n,,,,,,,,,
9.68,2,one,5,five,n,,,,,,,,,
4.00,1,one,5,five,n,,,,,,,,,
11.16,2,one,5,five,n,,,,,,,,,
10.46,2,one,5,five,n,,,,,,,,,
2.00,1,one,5,five,n,,,,,,,,,
17.34,2,one,5,five,n,,,,,,,,,
18.40,2,one,5,five,n,,,,,,,,,
15.42,2,one,5,five,n,,,,,,,,,
11.00,2,one,5,five,n,,,,,,,,,
18.23,2,one,6,five,n,,,,,,,,,
2.00,1,one,5,five,n,,,,,,,,,
15.51,2,one,5,five,m,,,,,,,,,
16.04,2,one,5,five,m,,,,,,,,,
12.23,2,one,5,five,m,,,,,,,,,
15.04,3,one,5,five,m,,,,,,,,,
15.07,2,one,5,four,m,,,,,,,,,
14.33,2,one,5,five,m,,,,,,,,,
9.90,2,one,5,five,m,,,,,,,,,
14.09,3,one,5,five,m,,,,,,,,,
15.20,3,one,5,six,m,,,,,,,,,
11.12,3,one,5,five,m,,,,,,,,,
12.05,2,one,5,five,m,,,,,,,,,
3.00,1,one,5,five,m,,,,,,,,,
15.20,2,one,5,five,m,,,,,,,,,
13.40,2,one,5,five,m,,,,,,,,,
14.42,2,one,5,four,m,,,,,,,,,
10.29,3,one,5,five,m,,,,,,,,,
6.00,1,one,5,five,m,,,,,,,,,
11.18,2,one,5,five,m,,,,,,,,,
13.30,2,one,5,five,m,,,,,,,,,
11.29,2,one,5,five,m,,,,,,,,,
2.00,1,one,5,five,m,,,,,,,,,
14.43,3,one,5,six,m,,,,,,,,,
12.58,2,one,5,five,m,,,,,,,,,
1.50,1,one,5,five,m,,,,,,,,,
9.92,2,one,5,five,m,,,,,,,,,
8.52,2,one,5,five,m,,,,,,,,,
14.52,2,one,5,five,m,,,,,,,,,
13.22,2,one,6,five,m,,,,,,,,,
15.11,2,one,4,five,m,,,,,,,,,
18.50,3,one,5,five,m,,,,,,,,,
3.41,1,one,5,five,a,,,,,,,,,
10.46,2,one,5,five,a,,,,,,,,,
16.55,2,one,5,five,a,,,,,,,,,
9.25,3,one,5,five,a,,,,,,,,,
11.82,2,one,5,five,a,,,,,,,,,
13.00,2,one,6,five,a,,,,,,,,,
7.41,1,one,5,four,a,,,,,,,,,
10.26,2,one,5,six,a,,,,,,,,,
