source,host_response_time,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_365,number_of_reviews,review_scores_rating,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes
city scrape,N/A,N/A,f,1,t,Entire villa,Entire home/apt,2,1,1,"$3,437.00",1,7,1,1,7,7,1,7,,t,363,0,,f,1,1
city scrape,within a day,83%,t,6,t,Entire condo,Entire home/apt,2,1,2,"$3,506.00",3,21,3,4,21,21,3,21,,t,225,1,5,f,6,6
city scrape,within a day,83%,t,6,t,Entire condo,Entire home/apt,4,2,4,"$5,499.00",3,30,3,4,30,30,3,30,,t,226,4,5,f,6,6
city scrape,within an hour,98%,t,1,t,Entire rental unit,Entire home/apt,4,2,2,$858.00,3,365,3,3,1125,1125,3,1125,,t,331,199,4.76,t,1,1
previous scrape,N/A,0%,f,1,t,Shared room in rental unit,Shared room,2,,1,"$1,718.00",1,1125,1,1,1125,1125,1,1125,,f,0,0,,f,1,0
city scrape,within an hour,82%,f,17,t,Entire home,Entire home/apt,14,5,8,"$18,000.00",1,365,1,1,365,365,1,365,,t,358,64,4.58,f,13,4
city scrape,within an hour,100%,t,2,t,Entire condo,Entire home/apt,3,1,1,"$3,307.00",2,1125,2,2,1125,1125,2,1125,,t,272,306,4.86,t,2,2
city scrape,within an hour,0%,f,3,t,Entire home,Entire home/apt,4,2,2,"$5,637.00",4,21,4,4,21,21,4,21,,t,362,22,5,f,2,2
city scrape,within an hour,100%,f,2,t,Private room in home,Private room,2,,1,"$1,031.00",2,1125,2,2,1125,1125,2,1125,,t,180,63,4.92,f,2,0
city scrape,within a day,73%,f,3,t,Entire rental unit,Entire home/apt,4,2,2,"$1,890.00",4,30,4,4,30,30,4,30,,t,307,47,4.89,f,2,2
previous scrape,N/A,N/A,f,1,t,Private room in condo,Private room,2,,1,"$1,500.00",2,365,2,2,365,365,2,365,,f,0,0,,f,1,0
city scrape,within an hour,92%,f,3,t,Entire rental unit,Entire home/apt,2,1,1,$737.00,5,180,5,5,180,180,5,180,,t,158,120,4.91,f,3,2
city scrape,within a few hours,95%,,8,t,Entire rental unit,Entire home/apt,8,3,3,"$8,592.00",5,1125,5,5,1125,1125,5,1125,,t,321,100,4.91,f,1,1
city scrape,within an hour,0%,f,1,t,Entire home,Entire home/apt,8,3,3,"$3,179.00",10,120,10,10,120,120,10,120,,t,71,0,,f,1,1
city scrape,within an hour,99%,t,6,t,Entire loft,Entire home/apt,2,1,1,"$3,231.00",1,365,1,1,1125,1125,1,1125,,t,287,12,4.91,f,3,3
city scrape,N/A,0%,f,1,t,Private room in condo,Private room,1,,1,$482.00,5,180,5,5,180,180,5,180,,t,253,1,5,f,1,0
city scrape,within a few hours,100%,f,2,t,Entire home,Entire home/apt,10,4,6,"$1,099.00",2,1125,2,2,1125,1125,2,1125,,t,343,99,4.55,t,2,2
previous scrape,N/A,N/A,f,3,t,Private room,Private room,2,,1,"$1,169.00",1,730,1,1,730,730,1,730,,f,0,0,,f,3,1
city scrape,within an hour,90%,t,4,t,Entire condo,Entire home/apt,6,2,3,"$1,400.00",14,180,14,14,180,180,14,180,,t,177,265,4.75,f,3,3
city scrape,within an hour,90%,t,4,t,Entire rental unit,Entire home/apt,4,2,2,"$1,130.00",20,1125,20,20,1125,1125,20,1125,,t,307,148,4.58,f,3,3
city scrape,within an hour,98%,t,7,t,Entire home,Entire home/apt,16,5,10,"$3,272.00",2,365,2,2,365,365,2,365,,t,201,320,4.89,f,7,5
city scrape,within an hour,90%,t,4,t,Entire rental unit,Entire home/apt,6,3,3,"$1,469.00",24,1125,24,24,1125,1125,24,1125,,t,266,39,4.57,f,3,3
city scrape,within an hour,88%,t,2,t,Private room in rental unit,Private room,2,,1,$315.00,4,90,4,4,90,90,4,90,,t,350,97,4.83,f,2,0
city scrape,within an hour,100%,t,14,t,Entire condo,Entire home/apt,2,1,1,$790.00,2,60,2,2,1125,1125,2,1125,,t,130,18,4.72,f,14,13
city scrape,within a few hours,62%,f,6,t,Entire home,Entire home/apt,16,10,16,"$2,406.00",1,90,1,1,90,90,1,90,,t,280,127,4.75,f,6,3
city scrape,within an hour,100%,t,2,t,Entire loft,Entire home/apt,2,1,1,"$1,186.00",3,365,3,3,1125,1125,3,1125,,t,260,45,4.78,f,1,1
previous scrape,within an hour,87%,t,19,t,Room in serviced apartment,Hotel room,2,1,1,"$1,031.00",2,730,2,2,1125,1125,2,1125,,f,0,24,4.83,f,11,7
previous scrape,within an hour,98%,t,6,t,Entire rental unit,Entire home/apt,4,1,1,"$2,640.00",4,365,4,4,365,365,4,365,,t,0,104,4.57,f,6,6
previous scrape,within an hour,87%,t,19,t,Entire serviced apartment,Entire home/apt,2,1,1,"$1,117.00",2,730,2,2,730,730,2,730,,f,0,7,4.29,f,11,7
previous scrape,within an hour,98%,t,6,t,Entire loft,Entire home/apt,3,1,2,"$5,000.00",14,365,14,14,365,365,14,365,,t,0,24,4.67,f,6,6
city scrape,within an hour,98%,t,6,t,Entire rental unit,Entire home/apt,2,1,1,"$6,800.00",1,180,1,1,1125,1125,1,1125,,t,10,71,4.7,f,6,6
city scrape,N/A,0%,f,1,t,Private room in rental unit,Private room,2,,1,$689.00,1,14,1,1,14,14,1,14,,t,364,5,4.75,f,1,0
city scrape,within an hour,94%,f,2,t,Entire rental unit,Entire home/apt,3,2,2,$800.00,2,365,2,2,365,365,2,365,,t,338,183,4.59,f,2,2
city scrape,within a few hours,67%,f,3,t,Private room in home,Private room,1,,1,$859.00,4,90,4,4,90,90,4,90,,t,348,4,5,f,3,0
city scrape,within a few hours,100%,f,1,t,Entire rental unit,Entire home/apt,2,1,1,$800.00,3,180,1,3,180,180,3,180,,t,346,27,4.58,f,1,1
city scrape,within a few hours,100%,f,2,t,Private room in home,Private room,4,,4,$370.00,2,365,2,2,365,365,2,365,,t,332,30,4.97,f,2,0
city scrape,within an hour,100%,t,1,t,Entire rental unit,Entire home/apt,2,1,2,$687.00,7,1125,7,7,1125,1125,7,1125,,t,181,52,4.85,f,1,1
city scrape,N/A,67%,f,1,t,Private room in rental unit,Private room,2,,1,$516.00,5,120,5,5,120,120,5,120,,t,265,148,4.73,f,1,0
